,産業,研究開発_企業数,研究開発_売上高（百万円）,研究開発_研究開発費_計,研究開発_研究開発費_自社研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）,研究開発_売上高研究開発費比率（％）,研究開発_受託研究費（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_国内（百万円）,_受託研究費（百万円）_うち、関係会社からの受託_海外（百万円）,研究開発投資_企業数,研究開発投資_当期取得額（百万円）,能力開発_企業数,能力開発_能力開発費（百万円）
0,総合計,8378,326763060,11412587,9770591,1641996,697503,138697,3.49,905911,122272,96070,1820,533542,8072,185497
1,合計,8226,319679833,11369228,9734586,1634642,696964,138673,3.56,904035,122165,96070,1796,528059,7700,180590
2,鉱業、採石業、砂利採取業,7,544085,1182,750,432,,,0.22,,,,,,9,378
3,製造業,6296,230222002,10289225,8840524,1448701,682149,131634,4.47,252375,36287,21075,1545,471769,3597,93260
4,090食料品製造業,680,12924960,142692,131429,11263,6575,1210,1.1,1255,959,,112,16297,363,3782
5,091畜産食料品製造業,104,3880415,34543,31662,2881,744,74,0.89,28,,,16,2428,65,842
6,092水産食料品製造業,76,682947,3230,3156,74,61,,0.47,90,11,,11,40,37,201
7,093精穀・製粉業,19,617448,4482,4461,21,,,0.73,3,,,3,28,13,127
8,099その他の食料品製造業,481,7744150,100437,92150,8287,5770,1136,1.3,1134,948,,82,13801,248,2612
9,100飲料・たばこ・飼料製造業,119,8365681,91692,90296,1396,22,,1.1,269,5,,32,1990,64,1193
10,101清涼飲料・酒類・茶・たばこ製造業,85,7381545,85918,84733,1185,19,,1.16,204,5,,21,1687,48,1078
11,102飼料・有機質肥料製造業,34,984136,5774,5563,211,3,,0.59,65,,,11,303,16,115
12,110繊維工業,148,1240105,28112,27246,866,288,,2.27,490,103,66,20,1367,57,414
13,111製糸，紡績，ねん糸等製造業,24,226078,8517,8450,67,35,,3.77,312,51,66,5,673,8,81
14,112織物・ニット生地製造業,26,301848,7850,7577,273,161,,2.6,55,,,2,,13,138
15,113染色整理業,26,89992,1602,1553,49,3,,1.78,25,,,4,103,9,19
16,114その他の繊維工業,26,194052,4155,3940,215,89,,2.14,52,52,,4,139,8,29
17,115織物・ニット製衣服製造業,19,222967,3935,3704,231,,,1.76,,,,1,,12,87
18,119身の回り品・その他の繊維製品製造業,27,205168,2053,2022,31,,,1,46,,,4,24,7,60
19,120木材・木製品製造業（家具を除く）,35,520975,2681,2651,30,20,,0.51,5,,,4,29,23,130
20,121製材・合板製造業,31,448117,2140,2130,10,,,0.48,5,,,4,29,19,78
21,129その他の木製品製造業（家具を除く）,4,72858,541,521,20,20,,0.74,,,,,,4,52
22,130家具・装備品製造業,64,762442,7777,7507,270,,,1.02,235,235,,4,31,33,240
23,140パルプ・紙・紙加工品製造業,105,3410991,24420,23700,720,192,59,0.72,266,51,,16,917,88,649
24,141パルプ・紙製造業,38,1897519,18770,18216,554,105,,0.99,224,9,,8,527,32,230
25,142紙加工品製造業,67,1513472,5650,5484,166,87,59,0.37,42,42,,8,390,56,419
26,150印刷・同関連業,83,3104234,54311,53565,746,738,,1.75,138,138,,13,4648,115,1224
27,160化学工業,740,25477936,1965461,1672377,293084,11077,52976,7.71,35070,1521,1863,356,129882,378,21584
28,161化学肥料・無機化学工業製品製造業,78,1814019,66999,62469,4530,179,178,3.69,641,293,100,39,7668,31,554
29,162有機化学工業製品製造業,141,10108563,435345,410254,25091,6745,5844,4.31,3294,569,,78,42198,81,2305
30,163油脂加工製品等（注）,106,2369055,91977,90507,1470,57,868,3.88,111,80,,40,13132,49,1203
31,164医薬品製造業,189,7685324,1224847,976249,248598,2704,46082,15.94,28094,493,259,95,57947,102,15614
32,169その他の化学工業製品製造業,226,3500975,146293,132898,13395,1392,4,4.18,2930,86,1504,104,8937,115,1908
33,170石油製品・石炭製品製造業,36,11636864,32730,30442,2288,521,261,0.28,2423,1,277,18,3665,24,509
34,171石油精製業,11,11075294,24659,22935,1724,421,,0.22,2373,1,277,7,3125,11,434
35,179その他の石油製品・石炭製品製造業,25,561570,8071,7507,564,100,261,1.44,50,,,11,540,13,75
36,180プラスチック製品製造業,331,5599090,165743,159301,6442,1143,1385,2.96,5420,2,,66,10385,197,2117
37,190ゴム製品製造業,80,2509671,155288,145199,10089,118,12,6.19,97,,,18,22383,30,1101
38,191タイヤ・チューブ製造業,9,1806024,139097,129147,9950,,12,7.7,88,,,1,,3,939
39,199その他のゴム製品製造業,71,703647,16191,16052,139,118,,2.3,9,,,17,,27,162
40,200なめし革・同製品・毛皮製造業,15,41232,477,472,5,,,1.16,,,,,,2,
41,210窯業・土石製品製造業,222,3070541,43780,42590,1190,769,4,1.43,2898,83,2164,47,3364,104,730
42,211ガラス・同製品製造業,42,839799,12400,11591,809,711,4,1.48,2333,80,2164,14,458,24,213
43,212セメント・同製品製造業,58,784706,6783,6719,64,37,,0.86,406,,,6,235,35,239
44,219その他の窯業・土石製品製造業,122,1446036,24597,24280,317,21,,1.7,159,3,,27,2671,45,278
45,220鉄鋼業,143,12079663,148261,143962,4299,1201,2,1.23,5910,609,,33,14508,122,1149
46,221銑鉄・粗鋼・鋼材製造業,88,11369276,137886,133686,4200,1139,2,1.21,5456,405,,23,14151,70,901
47,222鋳鍛造品・その他の鉄鋼製品製造業,55,710387,10375,10276,99,62,,1.46,454,204,,10,357,52,248
48,230非鉄金属製造業,181,9539879,144633,136917,7716,1990,803,1.52,13780,3659,,45,11579,109,2645
49,231非鉄金属製錬・精製業,48,4728670,41012,40002,1010,636,80,0.87,1485,1467,,12,887,31,569
50,232非鉄金属加工品製造業,133,4811209,103621,96915,6706,1354,723,2.15,12295,2192,,33,10692,78,2076
51,240金属製品製造業,440,4929236,51601,48800,2801,2024,44,1.05,873,82,,55,2190,268,1504
52,241建設用・建築用金属製品製造業,118,1847633,12009,11956,53,10,20,0.65,25,12,,12,187,82,294
53,249その他の金属製品製造業,322,3081603,39592,36844,2748,2014,24,1.28,848,70,,43,2003,186,1210
54,250はん用機械器具製造業,314,6800366,170062,165584,4478,2277,725,2.5,43379,191,28,64,4130,201,1863
55,251ボイラ・原動機製造業,21,694511,16195,15140,1055,360,,2.33,1565,158,28,3,482,13,337
56,252ポンプ・圧縮機器製造業,74,1123096,25415,23427,1988,1493,449,2.26,,,,9,204,49,532
57,253一般産業用機械・装置製造業,107,3642259,99714,98715,999,128,276,2.74,41723,22,,26,995,67,511
58,259その他のはん用機械・同部品製造業,112,1340500,28738,28302,436,296,,2.14,91,11,,26,2449,72,483
59,260生産用機械器具製造業,523,6811931,261807,246366,15441,2087,1934,3.84,9243,4664,,121,18394,281,4070
60,261金属加工機械製造業,140,1374171,47188,44486,2702,1288,1395,3.43,862,718,,27,2306,68,644
61,262特殊産業用機械製造業,383,5437760,214619,201880,12739,799,539,3.95,8381,3946,,94,16088,213,3426
62,270業務用機械器具製造業,311,10400496,1006458,900212,106246,5669,5655,9.68,7638,558,,90,48948,140,3835
63,271事務用・サービス用機械器具製造業,80,6564856,724095,646322,77773,530,26,11.03,5187,431,,21,25159,31,1659
64,273計量器・測定器等（注）,111,967861,57516,55358,2158,61,128,5.94,1987,,,29,892,45,296
65,274医療用機械器具・医療用品製造業,80,1384993,119820,96338,23482,4573,5501,8.65,215,114,,27,17095,45,1793
66,275光学機械器具・レンズ製造業,36,1405553,101817,98984,2833,505,,7.24,238,13,,12,,15,48
67,276武器製造業,4,77233,3210,3210,,,,4.16,11,,,1,,4,39
68,280電子部品・デバイス・電子回路製造業,352,10950253,543785,512420,31365,10998,3065,4.97,5141,3531,199,100,28394,203,3135
69,290電気機械器具製造業,467,11832289,574541,530807,43734,14597,3633,4.86,11075,3796,,110,19131,226,9296
70,291産業用電気機械器具製造業,204,6134949,297788,271561,26227,8230,3271,4.85,6221,3177,,47,5254,114,6318
71,292民生用電気機械器具製造業,57,1803838,47569,40574,6995,3827,,2.64,257,100,,12,1279,24,389
72,293電子応用装置製造業,34,342554,18612,16757,1855,1301,356,5.43,32,18,,4,306,13,466
73,299その他の電気機械器具製造業,172,3550948,210572,201915,8657,1239,6,5.93,4565,501,,47,12292,75,2123
74,300情報通信機械器具製造業,189,25413254,1665281,1593016,72265,4448,3858,6.55,31526,409,16465,58,49135,100,17055
75,301通信機械器具・同関連機械器具製造業,141,19584150,1234372,1181520,52852,2980,1584,6.3,23196,112,46,42,30871,76,7884
76,302電子計算機・同附属装置製造業,48,5829104,430909,411496,19413,1468,2274,7.39,8330,297,16419,16,18264,24,9171
77,310輸送用機械器具製造業,512,48893012,2882903,2086495,796408,610422,47270,5.9,73697,15647,13,123,78052,381,13816
78,311自動車・同附属品製造業,399,44498078,2772175,1981874,790301,609888,47268,6.23,71600,15525,13,103,70543,304,12369
79,319その他の輸送用機械器具製造業,113,4394934,110728,104621,6107,534,2,2.52,2097,122,,20,7509,77,1447
80,320その他の製造業,206,3906901,124729,89170,35559,4973,8738,3.19,1547,43,,40,2350,88,
81,電気・ガス業,35,19739864,152429,64961,87468,3769,,0.77,12395,,,16,12879,66,20568
82,331電気業,19,16528630,128902,43616,85286,3769,,0.78,11605,,,11,10522,25,17607
83,341ガス業,16,3211234,23527,21345,2182,,,0.73,790,,,5,2357,41,2961
84,情報通信業,476,9848477,237585,209549,28036,988,2206,2.41,33627,2675,8352,36,5571,870,24924
85,391ソフトウェア業,344,5296589,196524,175951,20573,271,2131,3.71,24696,11,8352,27,5415,532,14875
86,392情報処理・提供サービス業,87,3538810,32629,27226,5403,217,,0.92,6267,,,8,,230,8897
87,401インターネット附随サービス業,28,636185,6288,5240,1048,500,75,0.99,2664,2664,,1,,47,697
88,411映画・ビデオ制作業（※）,4,45572,377,377,,,,0.83,,,,,,17,73
89,413新聞業,3,251077,92,70,22,,,0.04,,,,,,15,172
90,414出版業,10,80244,1675,685,990,,,2.09,,,,,,29,210
91,卸売業,915,47947308,569292,512471,56821,7372,2173,1.19,8431,1317,1187,132,30352,1311,19354
92,511繊維品卸売業,18,360701,709,375,334,24,,0.2,,,,,,16,67
93,512衣服・身の回り品卸売業,59,764780,5512,4924,588,10,,0.72,15,,,4,69,57,535
94,521農畜産物・水産物卸売業,34,1510150,2574,2540,34,26,,0.17,51,,,6,34,67,380
95,522食料・飲料卸売業,87,2578596,17474,14953,2521,216,,0.68,,,,12,2154,140,1698
96,531建築材料卸売業,66,2528629,33095,31500,1595,19,,1.31,58,58,,7,79,85,867
97,532化学製品卸売業,92,2878555,29920,27456,2464,1466,,1.04,813,605,,21,959,93,738
98,533石油・鉱物卸売業,17,16633549,16574,10984,5590,25,26,0.1,400,,,4,64,54,2691
99,534鉄鋼製品卸売業,19,767500,574,543,31,,,0.07,2,,,1,,57,1410
100,535非鉄金属卸売業,12,3633231,2341,1415,926,558,,0.06,,,,,,12,570
101,536再生資源卸売業,4,61487,87,81,6,,,0.14,,,,,,9,53
102,541産業機械器具卸売業,93,1947083,52220,44447,7773,440,47,2.68,157,,,11,472,116,3414
103,542自動車卸売業,27,1587591,26404,24334,2070,68,,1.66,299,,,7,1803,86,932
104,543電気機械器具卸売業,107,5879117,281126,259758,21368,1701,615,4.78,2033,654,1187,21,23490,167,1931
105,549その他の機械器具卸売業,55,864337,10218,6501,3717,141,4,1.18,346,,,4,62,98,926
106,551家具・建具・じゅう器等卸売業,40,542330,1632,1579,53,,,0.3,,,,1,,26,102
107,552医薬品・化粧品等卸売業,51,3012716,40206,34430,5776,2249,1207,1.33,3968,,,16,688,72,1978
108,553紙、紙製品卸売業,12,191951,266,257,9,,,0.14,,,,,,28,121
109,559その他の卸売業,122,2205005,48360,46394,1966,429,274,2.19,289,,,17,,128,941
110,小売業,145,4142761,12128,8653,3475,793,2114,0.29,430,394,,8,147,886,10931
111,570織物・衣服・身の回り品小売業,23,1175778,4349,2018,2331,114,2114,0.37,,,,,,76,1042
112,580飲食料品小売業,53,888124,1831,1759,72,27,,0.21,19,,,2,,207,3686
113,591自動車・自転車小売業,1,,,,,,,,,,,,,246,1933
114,593機械器具小売業,7,576935,227,223,4,,,0.04,136,136,,,,51,389
115,602家具・建具・じゅう器小売業,4,29055,131,128,3,,,0.45,,,,,,9,35
116,603医薬品・化粧品小売業,18,467679,3855,3135,720,422,,0.82,275,258,,3,53,62,629
117,605燃料小売業,5,427815,61,58,3,,,0.01,,,,,,101,770
118,609その他の小売業,22,,,,64,53,,,,,,2,,105,1920
119,610無店舗小売業,12,383076,1065,787,278,177,,0.28,,,,1,,29,527
120,クレジットカード業、割賦金融業,3,223226,364,361,3,,,0.16,,,,,,33,655
121,物品賃貸業,10,90023,203,202,1,,,0.23,,,,2,,73,491
122,702産業用機械器具賃貸業（レンタルを含む）,8,,,,1,,,,,,,2,,28,191
123,703事務用機械器具賃貸業（レンタルを含む）,,,,,,,,,,,,,,12,103
124,704自動車賃貸業（レンタルを除く）,,,,,,,,,,,,,,25,151
