,産業,研究開発_企業数,研究開発_売上高（百万円）,研究開発_研究開発費_計,研究開発_研究開発費_自社研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）,研究開発_売上高研究開発費比率（％）,研究開発_受託研究費（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_国内（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_海外（百万円）,研究開発投資_企業数,研究開発投資_当期取得額（百万円）,能力開発_企業数,能力開発_能力開発費（百万円）
0,総合計,8561,333804154,12086865,10402178,1684687,785231,211977,3.62,982416,596177,53389,1820,535428,8716,221355
1,合計,8383,328363426,12058145,10375722,1682423,784987,211977,3.67,979925,595273,53389,1802,534231,8253,214054
2,鉱業、採石業、砂利採取業,12,Ｘ,Ｘ,441,Ｘ,,,Ｘ,,,,1,Ｘ,9,477
3,製造業,6383,231589536,11131478,9601348,1530130,759970,200528,4.81,247275,47171,30663,1539,466627,3745,124860
4,090食料品製造業,690,13862506,153460,142068,11392,5586,3370,1.11,962,886,,106,10489,378,3844
5,091畜産食料品製造業,101,4404843,42028,40972,1056,254,,0.95,18,,,14,7173,67,796
6,092水産食料品製造業,78,614613,3279,3173,106,15,45,0.53,17,4,,3,67,37,230
7,093精穀・製粉業,17,490642,4432,4418,14,,,0.9,3,,,3,32,15,140
8,099その他の食料品製造業,494,8352408,103721,93505,10216,5317,3325,1.24,924,882,,86,3217,259,2678
9,100飲料・たばこ・飼料製造業,119,6587258,77553,76575,978,96,,1.18,211,,,35,2138,68,904
10,101清涼飲料・酒類・茶・たばこ製造業,89,5620520,72471,71683,788,24,,1.29,168,,,27,1913,56,770
11,102飼料・有機質肥料製造業,30,966738,5082,4892,190,72,,0.53,43,,,8,225,12,134
12,110繊維工業,162,1734194,73866,70112,3754,1157,2206,4.26,860,114,65,22,5667,67,840
13,111製糸，紡績，ねん糸等製造業,26,753239,55901,52651,3250,1036,2206,7.42,791,86,65,9,5311,7,600
14,112織物・ニット生地製造業,30,303263,6633,6592,41,,,2.19,6,,,1,Ｘ,12,74
15,113染色整理業,28,144431,2343,2307,36,13,,1.62,3,,,2,Ｘ,10,19
16,114その他の繊維工業,29,213904,3954,3765,189,82,,1.85,36,28,,6,113,13,34
17,115織物・ニット製衣服製造業,17,213610,3638,3438,200,8,,1.7,,,,2,Ｘ,16,89
18,119身の回り品・その他の繊維製品製造業,32,105747,1397,1359,38,18,,1.32,24,,,2,Ｘ,9,24
19,120木材・木製品製造業（家具を除く）,31,517343,2333,2296,37,2,,0.45,29,,,4,23,20,64
20,121製材・合板製造業,26,447761,1936,1926,10,,,0.43,29,,,3,Ｘ,16,56
21,129その他の木製品製造業（家具を除く）,5,69582,397,370,27,2,,0.57,,,,1,Ｘ,4,8
22,130家具・装備品製造業,57,865922,7965,7882,83,61,,0.92,,,,5,81,26,318
23,140パルプ・紙・紙加工品製造業,115,3529243,18029,16934,1095,549,52,0.51,320,163,7,15,993,96,692
24,141パルプ・紙製造業,46,2094200,13027,12240,787,488,,0.62,157,,7,8,722,34,290
25,142紙加工品製造業,69,1435043,5002,4694,308,61,52,0.35,163,163,,7,271,62,402
26,150印刷・同関連業,77,2849327,42979,42545,434,304,,1.51,23,,,9,3599,136,1480
27,160化学工業,774,25784040,2141431,1836005,305426,18403,78979,8.31,35441,2011,11184,379,116851,383,32591
28,161化学肥料・無機化学工業製品製造業,78,1821483,74992,68603,6389,716,36,4.12,681,276,28,49,10041,42,628
29,162有機化学工業製品製造業,145,9295097,442835,410743,32092,8161,9091,4.76,4233,106,,76,50918,72,2289
30,163油脂加工製品等（注）,103,2212958,78077,75139,2938,249,891,3.53,203,185,,41,4978,49,1227
31,164医薬品製造業,207,8599909,1367630,1119002,248628,3334,68932,15.9,24132,527,11156,103,38690,115,26624
