,産業,特許権_企業数,特許権_件数_所有数,特許権_件数_使用のもの（含供与）_件,特許権_件数_使用のもの（含供与）_うち、自社開発,実用新案権_企業数,実用新案権_件数_所有数,実用新案権_使用のもの（含供与）_件,実用新案権_うち、自社開発,意匠権_企業数,意匠権_件数_所有数,意匠権_使用のもの（含供与）_件,意匠権_うち、自社開発
0,総合計,7326,1568772,574376,510492,2611,20664,11064,9327,3967,224564,92038,86630
1,合計,7070,1562799,571199,507701,2515,20352,10920,9199,3842,223755,91620,86262
2,鉱業、採石業、砂利採取業,6,136,7,7,1,,,,,,,
3,製造業,5167,1361019,501618,443646,1867,17372,9038,7662,2718,198043,76030,71556
4,090食料品製造業,317,11034,4889,4431,59,146,71,65,168,1793,1100,839
5,091畜産食料品製造業,34,1676,379,365,6,7,5,5,25,407,281,143
6,092水産食料品製造業,32,410,177,171,7,29,24,24,25,117,71,66
7,093精穀・製粉業,15,299,185,183,3,5,,,2,,,
8,099その他の食料品製造業,236,8649,4148,3712,43,105,42,36,116,,,
9,100飲料・たばこ・飼料製造業,76,2572,1002,950,17,40,33,33,30,948,489,477
10,101清涼飲料・酒類・茶・たばこ製造業,58,2428,908,858,14,36,32,32,26,940,485,473
11,102飼料・有機質肥料製造業,18,144,94,92,3,4,1,1,4,8,4,4
12,110繊維工業,136,9707,4765,4521,76,314,248,196,79,1165,849,811
13,111製糸，紡績，ねん糸等製造業,17,5783,2705,2686,6,27,25,25,5,99,74,74
14,112織物・ニット生地製造業,20,922,443,409,7,14,8,8,8,101,73,73
15,113染色整理業,20,337,173,132,8,24,9,5,5,32,30,21
16,114その他の繊維工業,31,1285,578,554,15,83,60,55,17,130,79,76
17,115織物・ニット製衣服製造業,12,754,409,358,13,46,37,37,15,211,165,162
18,119身の回り品・その他の繊維製品製造業,36,626,457,382,27,120,109,66,29,592,428,405
19,120木材・木製品製造業（家具を除く）,27,837,414,413,13,29,17,17,16,740,415,398
20,121製材・合板製造業,24,653,347,346,13,29,17,17,14,,,
21,129その他の木製品製造業（家具を除く）,3,184,67,67,,,,,2,,,
22,130家具・装備品製造業,45,4496,3502,3372,25,106,87,79,45,6117,5316,4954
23,140パルプ・紙・紙加工品製造業,112,8732,5302,5194,70,451,243,238,67,961,525,514
24,141パルプ・紙製造業,33,4800,2238,2168,17,59,41,40,18,553,217,212
25,142紙加工品製造業,79,3932,3064,3026,53,392,202,198,49,408,308,302
26,150印刷・同関連業,107,24080,2176,1939,65,325,186,156,50,2609,500,393
27,160化学工業,558,146914,60989,48940,107,1306,664,644,207,10446,4449,4172
28,161化学肥料・無機化学工業製品製造業,63,7591,2563,2304,8,22,7,7,17,181,97,94
29,162有機化学工業製品製造業,118,90410,39589,28530,20,537,221,206,26,1497,922,911
30,163油脂加工製品等（注）,75,16024,6206,6079,16,105,24,23,23,1916,896,889
31,164医薬品製造業,122,11436,3380,3105,26,118,68,65,76,1894,873,807
32,169その他の化学工業製品製造業,180,21453,9251,8922,37,524,344,343,65,4958,1661,1471
33,170石油製品・石炭製品製造業,22,3822,1579,1541,2,,,,3,31,30,30
34,171石油精製業,8,2947,1083,1063,,,,,2,,,
35,179その他の石油製品・石炭製品製造業,14,875,496,478,2,,,,1,,,
36,180プラスチック製品製造業,322,29680,14422,13623,145,1269,904,820,194,12654,9300,9016
37,190ゴム製品製造業,71,21669,9437,8825,27,201,153,152,43,5390,2669,2605
