,産業,特許権_企業数,特許権_件数_所有数,特許権_件数_所有数_使用のもの（含供与）_件,特許権_件数_所有数_使用のもの（含供与）_うち、自社開発_件,実用新案権_企業数,実用新案権_件数_所有数_件,実用新案権_件数_所有数_使用のもの（含供与）_件,実用新案権_件数_所有数_使用のもの（含供与）_うち、自社開発_件,意匠権_企業数,意匠権_件数_所有数_件,意匠権_件数_所有数_使用のもの（含供与）_件,意匠権_件数_所有数_使用のもの（含供与）_うち、自社開発_件
0,総合計,6997,1649632,582931,542419,2177,18752,9006,7732,3593,182291,91920,85826
1,合計,6764,1595932,577839,538383,2103,18336,8857,7605,3483,177005,91146,85159
2,鉱業、採石業、砂利採取業,6,40,9,9,,,,,,,,
3,製造業,4973,1355877,487535,453343,1584,14906,6867,5730,2554,151710,76073,70976
4,食料品製造業,306,10340,4498,3809,54,153,77,67,158,1753,1220,905
5,畜産食料品製造業,33,1478,690,393,6,7,5,5,19,406,358,93
6,水産食料品製造業,22,273,97,86,8,58,19,14,21,107,82,74
7,精穀・製粉業,13,134,61,60,2,,,,1,,,
8,その他の食料品製造業,238,8455,3650,3270,38,,,,117,,,
9,飲料・たばこ・飼料製造業,81,4578,659,641,15,48,9,9,33,1977,393,389
10,清涼飲料・酒類・茶・たばこ製造業,63,4422,529,513,14,,9,9,29,1968,386,382
11,飼料・有機質肥料製造業,18,156,130,128,1,,,,4,9,7,7
12,繊維工業,147,12560,2331,2107,66,335,247,195,76,1156,727,699
13,製糸，紡績，ねん糸等製造業,17,8559,126,119,3,18,11,11,8,188,4,4
14,織物・ニット生地製造業,21,730,391,355,7,15,8,7,6,74,66,66
15,染色整理業,22,394,221,180,7,12,10,6,3,17,17,17
16,その他の繊維工業,36,1476,647,601,16,89,55,51,20,201,129,120
17,織物・ニット製衣服製造業,16,759,546,507,13,92,75,74,14,270,216,213
18,身の回り品・その他の繊維製品製造業,35,642,400,345,20,109,88,46,25,406,295,279
19,木材・木製品製造業（家具を除く）,30,1071,449,449,9,17,15,15,17,912,303,303
20,製材・合板製造業,28,,,,8,,,,16,,,
21,その他の木製品製造業（家具を除く）,2,,,,1,,,,1,,,
22,家具・装備品製造業,46,3343,2588,2439,25,111,84,77,38,5390,4183,3833
23,パルプ・紙・紙加工品製造業,111,13193,8193,8073,60,558,392,345,68,1587,945,887
24,パルプ・紙製造業,36,6986,3006,2969,13,210,116,75,19,1022,504,458
25,紙加工品製造業,75,6207,5187,5104,47,348,276,270,49,565,441,429
26,印刷・同関連業,102,23942,2210,1859,55,222,107,105,52,2429,459,370
27,化学工業,525,145263,65717,54770,97,1103,292,266,188,11131,5038,4467
28,化学肥料・無機化学工業製品製造業,54,7463,2917,2525,6,18,5,5,13,152,111,85
29,有機化学工業製品製造業,111,85255,41876,32556,23,412,163,143,27,1707,702,618
30,油脂加工製品等（注）,69,7156,3803,3671,11,67,13,12,14,401,178,174
31,医薬品製造業,115,10138,3413,2920,19,41,27,25,72,2024,1017,890
32,その他の化学工業製品製造業,176,35251,13708,13098,38,565,84,81,62,6847,3030,2700
33,石油製品・石炭製品製造業,20,4772,1930,1783,2,,,,2,,,
34,石油精製業,6,3515,1193,1193,1,,,,1,,,
35,その他の石油製品・石炭製品製造業,14,1257,737,590,1,,,,1,,,
36,プラスチック製品製造業,309,21506,10319,9280,130,942,398,375,197,11224,8085,7727
37,ゴム製品製造業,73,24018,5424,5273,24,144,67,66,45,6059,1501,1158
38,タイヤ・チューブ製造業,8,19147,3026,3026,5,46,6,6,6,5413,1118,794
39,その他のゴム製品製造業,65,4871,2398,2247,19,98,61,60,39,646,383,364
40,なめし革・同製品・毛皮製造業,4,78,24,24,4,32,31,31,4,81,13,13
41,窯業・土石製品製造業,203,14016,6421,6093,76,351,203,160,113,2461,1552,1200
42,ガラス・同製品製造業,38,4984,2252,2146,12,35,16,12,23,348,223,219
43,セメント・同製品製造業,57,3703,1321,1179,31,163,110,73,51,1188,933,602
44,その他の窯業・土石製品製造業,108,5329,2848,2768,33,153,77,75,39,925,396,379
45,鉄鋼業,138,43581,8454,7871,31,168,68,63,52,2419,824,706
46,銑鉄・粗鋼・鋼材製造業,79,42151,7842,7342,22,116,21,16,33,1972,555,462
47,鋳鍛造品・その他の鉄鋼製品製造業,59,1430,612,529,9,52,47,47,19,447,269,244
48,非鉄金属製造業,125,31786,8976,7994,34,191,118,106,46,2560,1174,946
49,非鉄金属製錬・精製業,32,12236,3089,2236,10,61,55,50,12,720,467,267
50,非鉄金属加工品製造業,93,19550,5887,5758,24,130,63,56,34,1840,707,679
51,金属製品製造業,448,28295,16413,15727,181,1555,1245,531,269,14680,8604,8435
52,建設用・建築用金属製品製造業,138,13498,8381,7986,63,353,212,184,99,9212,5888,5784
53,その他の金属製品製造業,310,14797,8032,7741,118,1202,1033,347,170,5468,2716,2651
54,はん用機械器具製造業,265,37674,14665,14340,99,800,527,507,140,4528,3034,2999
55,ボイラ・原動機製造業,14,12381,1949,1945,4,93,16,16,8,599,69,69
56,ポンプ・圧縮機器製造業,51,2882,2042,2017,22,116,104,100,26,1154,1097,1097
57,一般産業用機械・装置製造業,109,12722,7367,7179,41,299,186,170,56,1233,889,875
58,その他のはん用機械・同部品製造業,91,9689,3307,3199,32,292,221,221,50,1542,979,958
59,生産用機械器具製造業,554,72640,31592,30252,163,1537,679,660,241,6447,3772,3678
60,金属加工機械製造業,133,11938,5673,5201,32,241,124,122,72,2080,1170,1132
61,特殊産業用機械製造業,421,60702,25919,25051,131,1296,555,538,169,4367,2602,2546
62,業務用機械器具製造業,236,250531,84457,79536,76,1211,570,564,148,11084,6856,6659
63,事務用・サービス用機械器具製造業,52,163657,56709,53419,15,235,,,36,4896,3155,3016
64,計量器・測定器等（注）,98,20166,7974,7893,36,525,278,278,57,1622,1234,1232
65,医療用機械器具・医療用品製造業,65,47781,17466,15933,22,342,142,142,48,3654,1874,1818
66,光学機械器具・レンズ製造業,17,13275,1797,1780,1,,,,5,,,
67,武器製造業,4,5652,511,511,2,,,,2,,,
68,電子部品・デバイス・電子回路製造業,215,109209,36542,31567,54,1067,227,226,101,8120,3266,3117
69,電気機械器具製造業,309,191812,37742,36468,94,1462,333,223,182,27476,6631,6155
70,産業用電気機械器具製造業,159,63500,20294,19582,53,428,194,87,90,7060,2116,1980
71,民生用電気機械器具製造業,36,86536,5389,5297,15,827,82,81,31,16141,2384,2292
72,電子応用装置製造業,25,10876,3554,3498,6,90,14,14,15,632,571,554
73,その他の電気機械器具製造業,89,30900,8505,8091,20,117,43,41,46,3643,1560,1329
74,情報通信機械器具製造業,101,72376,48300,45376,32,166,117,93,63,7040,3726,3598
75,通信機械器具・同関連機械器具製造業,79,24759,8791,5960,24,113,66,44,48,4956,2875,2753
76,電子計算機・同附属装置製造業,22,47617,39509,39416,8,53,51,49,15,2084,851,845
77,輸送用機械器具製造業,475,221968,82913,81058,128,2203,687,676,214,14418,9537,8552
78,自動車・同附属品製造業,363,192610,74883,73086,89,1123,280,275,158,10813,7513,6534
79,その他の輸送用機械器具製造業,112,29358,8030,7972,39,1080,407,401,56,3605,2024,2018
80,その他の製造業,150,17325,6718,6554,75,,,,107,,,
81,電気・ガス業,44,13805,3623,2755,10,38,23,14,18,640,178,157
82,電気業,26,9006,2535,1836,6,32,19,10,12,102,66,50
83,ガス業,18,4799,1088,919,4,6,4,4,6,538,112,107
84,情報通信業,395,51449,24769,24191,47,117,92,88,88,988,686,646
85,ソフトウェア業,278,41678,21528,21390,24,38,22,22,49,697,484,479
86,情報処理・提供サービス業,70,2779,830,756,8,14,11,9,14,92,80,80
87,インターネット附随サービス業,35,6906,2381,2015,4,,,,13,120,47,15
88,映画・ビデオ制作業（※）,3,55,6,6,2,,,,2,,,
89,新聞業,3,4,3,3,,,,,4,,,
90,出版業,6,27,21,21,9,54,51,50,6,56,54,51
91,卸売業,856,147411,52945,49576,341,2813,1558,1472,560,19771,11365,10789
92,繊維品卸売業,10,197,113,91,7,19,18,17,11,341,243,227
93,衣服・身の回り品卸売業,36,660,309,276,27,99,84,75,35,708,444,432
94,農畜産物・水産物卸売業,18,337,137,106,3,14,10,10,17,91,73,50
95,食料・飲料卸売業,37,2943,813,772,9,68,23,23,27,1459,241,213
96,建築材料卸売業,83,4229,1354,1277,35,508,312,309,54,2265,1112,1090
97,化学製品卸売業,86,4746,1883,1517,18,66,58,49,31,304,254,223
98,石油・鉱物卸売業,18,3230,195,183,7,17,10,6,6,175,93,93
99,鉄鋼製品卸売業,36,336,237,210,13,29,28,28,14,180,142,142
100,非鉄金属卸売業,12,2955,1722,1690,3,4,3,3,4,,,
101,再生資源卸売業,4,1012,8,7,1,,,,2,,,
102,産業機械器具卸売業,92,44811,25742,24012,33,372,62,58,51,2273,1542,1426
103,自動車卸売業,25,9125,3608,3173,8,15,14,13,15,844,715,662
104,電気機械器具卸売業,101,39496,4990,4879,28,568,218,217,62,3689,1460,1407
105,その他の機械器具卸売業,64,15629,4593,4521,22,105,72,68,34,1438,1292,1281
106,家具・建具・じゅう器等卸売業,35,435,339,316,16,77,68,66,34,804,707,689
107,医薬品・化粧品等卸売業,38,10013,3460,3299,13,175,142,120,27,820,447,375
108,紙、紙製品卸売業,19,334,43,36,10,33,16,13,13,57,44,37
109,その他の卸売業,142,6923,3399,3211,88,,,,123,4238,2491,2378
110,小売業,124,2583,1126,1045,39,187,116,112,110,2688,1967,1804
111,織物・衣服・身の回り品小売業,14,226,158,152,7,51,11,11,22,383,332,305
112,飲食料品小売業,28,358,118,75,8,33,25,23,37,223,197,79
113,自動車・自転車小売業,9,58,31,30,5,14,12,11,4,40,22,22
114,機械器具小売業,12,109,36,26,1,,,,3,3,3,2
115,家具・建具・じゅう器小売業,3,681,613,613,2,,,,3,1075,1021,1021
116,医薬品・化粧品小売業,5,39,19,19,3,3,2,2,6,60,56,56
117,燃料小売業,6,18,16,14,1,,,,5,5,5,4
118,その他の小売業,26,116,68,60,5,38,31,30,23,284,236,220
119,無店舗小売業,21,978,67,56,7,44,32,32,7,615,95,95
120,クレジットカード業、割賦金融業,5,159,47,47,,,,,4,24,17,12
121,物品賃貸業,36,442,366,313,15,47,43,33,18,84,77,75
122,産業用機械器具賃貸業（レンタルを含む）,33,430,354,301,14,,,,16,,,
123,自動車賃貸業（レンタルを除く）,2,,,,,,,,1,,,
124,その他の物品賃貸業（レンタルを含む）,1,,,,1,,,,1,,,
125,学術研究、専門・技術サービス業,150,19637,6283,6080,26,114,72,72,46,556,397,385
126,学術・開発研究機関,32,8552,1044,952,2,,,,6,26,21,21
127,デザイン業,2,,,,1,,,,2,,,
128,エンジニアリング業,62,9206,4815,4720,15,91,56,56,22,353,254,249
129,広告業,17,72,51,47,2,,,,10,157,105,98
130,機械設計業,11,1440,211,211,1,,,,2,,,
131,商品・非破壊検査業,10,284,94,83,3,5,4,4,,,,
132,計量証明業,14,75,62,62,2,,,,3,3,2,2
133,写真業,2,,,,,,,,1,,,
134,飲食サービス業,16,38,25,19,,,,,28,180,113,85
135,一般飲食店,15,,,19,,,,,25,152,108,85
136,持ち帰り・配達飲食サービス業,1,,,,,,,,3,28,5,
137,生活関連サービス業、娯楽業,24,307,200,181,12,28,25,24,21,157,149,127
138,洗濯業,4,152,151,147,2,,,,7,134,131,111
139,その他の洗濯・理容・美容業・浴場業,1,,,,,,,,,,,
140,冠婚葬祭業（冠婚葬祭互助会を含む）,7,111,10,10,5,8,5,5,6,13,10,10
141,"写真プリント,現像・焼付業",1,,,,,,,,,,,
142,その他の生活関連サービス業,3,11,11,,2,,,,,,,
143,ゴルフ場,3,14,9,,1,,,,5,6,,
144,スポーツ施設提供業（注）,2,,,,,,,,1,,,
145,公園、遊園地・テーマパーク,3,11,11,11,2,,,,2,,,
146,サービス業（その他のサービス業を除く）,135,4184,911,824,29,86,61,60,36,207,124,103
147,廃棄物処理業,35,198,132,112,5,13,12,11,6,28,26,25
148,機械等修理業,46,3761,613,564,8,34,17,17,12,92,38,22
149,労働者派遣業,10,24,10,10,,,,,4,6,4,4
150,ディスプレイ業,6,15,13,13,7,9,9,9,4,37,35,35
151,テレマーケティング業,1,,,,,,,,1,,,
152,その他の事業サービス業,37,,,,9,30,23,23,9,,,17
153,サービス業（その他のサービス業）,52,48376,2316,2037,19,276,44,44,27,4113,202,182
154,その他の産業,181,5324,2776,1999,55,140,105,83,83,1173,572,485
