year,industry_name,industry_id,company_count,r_and_d_sales,r_and_d_total,patent_company_count,patent_count,utility_company_count,utility_count,design_company_count,design_count
2020,合計,000,8450,373249339,15159301,6997.0,1649632.0,2177.0,18752.0,3593.0,182291.0
2020,合計,000,8246,361803716,14984524,6764.0,1595932.0,2103.0,18336.0,3483.0,177005.0
2020,製造業,E,6086,234557073,11922450,4973.0,1355877.0,1584.0,14906.0,2554.0,151710.0
2020,食料品製造業,090,690,14479104,137901,306.0,10340.0,54.0,153.0,158.0,1753.0
2020,畜産食料品製造業,091,98,4560613,29043,33.0,1478.0,6.0,7.0,19.0,406.0
2020,水産食料品製造業,092,73,636739,3448,22.0,273.0,8.0,58.0,21.0,107.0
2020,飲料・たばこ・飼料製造業,100,120,5487575,95923,81.0,4578.0,15.0,48.0,33.0,1977.0
2020,繊維工業,110,152,1801322,105460,147.0,12560.0,66.0,335.0,76.0,1156.0
2020,製糸，紡績，ねん糸等製造業,111,23,821425,87574,17.0,8559.0,3.0,18.0,8.0,188.0
2020,織物・ニット生地製造業,112,23,195941,5545,21.0,730.0,7.0,15.0,6.0,74.0
2020,染色整理業,113,32,151552,3225,22.0,394.0,7.0,12.0,3.0,17.0
2020,その他の繊維工業,114,35,264618,4677,36.0,1476.0,16.0,89.0,20.0,201.0
2020,織物・ニット製衣服製造業,115,16,201855,3216,16.0,759.0,13.0,92.0,14.0,270.0
2020,身の回り品・その他の繊維製品製造業,119,23,165931,1223,35.0,642.0,20.0,109.0,25.0,406.0
2020,木材・木製品製造業（家具を除く）,120,37,881350,3979,30.0,1071.0,9.0,17.0,17.0,912.0
2020,家具・装備品製造業,130,64,1038867,13152,46.0,3343.0,25.0,111.0,38.0,5390.0
2020,パルプ・紙・紙加工品製造業,140,109,3901723,29990,111.0,13193.0,60.0,558.0,68.0,1587.0
2020,パルプ・紙製造業,141,41,2381212,15879,36.0,6986.0,13.0,210.0,19.0,1022.0
2020,紙加工品製造業,142,68,1520511,14111,75.0,6207.0,47.0,348.0,49.0,565.0
2020,印刷・同関連業,150,74,2941468,35563,102.0,23942.0,55.0,222.0,52.0,2429.0
2020,化学工業,160,739,26469851,1836487,525.0,145263.0,97.0,1103.0,188.0,11131.0
2020,化学肥料・無機化学工業製品製造業,161,68,1422386,44425,54.0,7463.0,6.0,18.0,13.0,152.0
2020,有機化学工業製品製造業,162,142,10253636,421445,111.0,85255.0,23.0,412.0,27.0,1707.0
2020,Unknown Industry,Unknown Industry ID,95,1778895,51012,69.0,7156.0,11.0,67.0,14.0,401.0
2020,医薬品製造業,164,191,7593234,1039052,115.0,10138.0,19.0,41.0,72.0,2024.0
2020,その他の化学工業製品製造業,169,243,5421700,280553,176.0,35251.0,38.0,565.0,62.0,6847.0
2020,プラスチック製品製造業,180,341,4964884,98112,309.0,21506.0,130.0,942.0,197.0,11224.0
2020,ゴム製品製造業,190,86,2866139,165588,73.0,24018.0,24.0,144.0,45.0,6059.0
2020,タイヤ・チューブ製造業,191,8,1929295,138375,8.0,19147.0,5.0,46.0,6.0,5413.0
2020,その他のゴム製品製造業,199,78,936844,27213,65.0,4871.0,19.0,98.0,39.0,646.0
2020,なめし革・同製品・毛皮製造業,200,7,30965,132,4.0,78.0,4.0,32.0,4.0,81.0
2020,窯業・土石製品製造業,210,217,3378551,68917,203.0,14016.0,76.0,351.0,113.0,2461.0
2020,ガラス・同製品製造業,211,40,673723,25832,38.0,4984.0,12.0,35.0,23.0,348.0
2020,セメント・同製品製造業,212,49,915551,10061,57.0,3703.0,31.0,163.0,51.0,1188.0
2020,その他の窯業・土石製品製造業,219,128,1789277,33024,108.0,5329.0,33.0,153.0,39.0,925.0
2020,鉄鋼業,220,146,11268343,176161,138.0,43581.0,31.0,168.0,52.0,2419.0
2020,銑鉄・粗鋼・鋼材製造業,221,87,10596113,171932,79.0,42151.0,22.0,116.0,33.0,1972.0
2020,鋳鍛造品・その他の鉄鋼製品製造業,222,59,672230,4229,59.0,1430.0,9.0,52.0,19.0,447.0
2020,非鉄金属製造業,230,170,7965767,134148,125.0,31786.0,34.0,191.0,46.0,2560.0
2020,非鉄金属製錬・精製業,231,36,2994567,36979,32.0,12236.0,10.0,61.0,12.0,720.0
2020,非鉄金属加工品製造業,232,134,4971200,97169,93.0,19550.0,24.0,130.0,34.0,1840.0
2020,金属製品製造業,240,451,6619739,86311,448.0,28295.0,181.0,1555.0,269.0,14680.0
2020,建設用・建築用金属製品製造業,241,137,3281726,33853,138.0,13498.0,63.0,353.0,99.0,9212.0
2020,その他の金属製品製造業,249,314,3338013,52458,310.0,14797.0,118.0,1202.0,170.0,5468.0
2020,はん用機械器具製造業,250,281,5473746,159139,265.0,37674.0,99.0,800.0,140.0,4528.0
2020,ボイラ・原動機製造業,251,16,1363453,50679,14.0,12381.0,4.0,93.0,8.0,599.0
2020,ポンプ・圧縮機器製造業,252,77,1112789,28966,51.0,2882.0,22.0,116.0,26.0,1154.0
2020,一般産業用機械・装置製造業,253,99,1615781,36729,109.0,12722.0,41.0,299.0,56.0,1233.0
2020,その他のはん用機械・同部品製造業,259,89,1381723,42765,91.0,9689.0,32.0,292.0,50.0,1542.0
2020,生産用機械器具製造業,260,565,11907472,612563,554.0,72640.0,163.0,1537.0,241.0,6447.0
2020,金属加工機械製造業,261,147,2123436,67962,133.0,11938.0,32.0,241.0,72.0,2080.0
2020,特殊産業用機械製造業,262,418,9784036,544601,421.0,60702.0,131.0,1296.0,169.0,4367.0
2020,業務用機械器具製造業,270,271,10054725,994637,236.0,250531.0,76.0,1211.0,148.0,11084.0
2020,事務用・サービス用機械器具製造業,271,63,4737293,546874,52.0,163657.0,15.0,235.0,36.0,4896.0
2020,Unknown Industry,Unknown Industry ID,100,1259416,78086,98.0,20166.0,36.0,525.0,57.0,1622.0
2020,医療用機械器具・医療用品製造業,274,73,2446215,256118,65.0,47781.0,22.0,342.0,48.0,3654.0
2020,電子部品・デバイス・電子回路製造業,280,288,12051424,717092,215.0,109209.0,54.0,1067.0,101.0,8120.0
2020,電気機械器具製造業,290,422,17348453,1037758,309.0,191812.0,94.0,1462.0,182.0,27476.0
2020,産業用電気機械器具製造業,291,209,7777585,401762,159.0,63500.0,53.0,428.0,90.0,7060.0
2020,民生用電気機械器具製造業,292,49,6121782,373645,36.0,86536.0,15.0,827.0,31.0,16141.0
2020,電子応用装置製造業,293,31,703651,78251,25.0,10876.0,6.0,90.0,15.0,632.0
2020,その他の電気機械器具製造業,299,133,2745435,184100,89.0,30900.0,20.0,117.0,46.0,3643.0
2020,情報通信機械器具製造業,300,133,6345827,399107,101.0,72376.0,32.0,166.0,63.0,7040.0
2020,通信機械器具・同関連機械器具製造業,301,100,2811088,198447,79.0,24759.0,24.0,113.0,48.0,4956.0
2020,電子計算機・同附属装置製造業,302,33,3534739,200660,22.0,47617.0,8.0,53.0,15.0,2084.0
2020,輸送用機械器具製造業,310,529,65311822,4807918,475.0,221968.0,128.0,2203.0,214.0,14418.0
2020,自動車・同附属品製造業,311,404,59464449,4609141,363.0,192610.0,89.0,1123.0,158.0,10813.0
2020,その他の輸送用機械器具製造業,319,125,5847373,198777,112.0,29358.0,39.0,1080.0,56.0,3605.0
2020,電気・ガス業,F,36,22975505,131926,44.0,13805.0,10.0,38.0,18.0,640.0
2020,電気業,331,23,19037277,116239,26.0,9006.0,6.0,32.0,12.0,102.0
2020,ガス業,341,13,3938228,15687,18.0,4799.0,4.0,6.0,6.0,538.0
2020,情報通信業,G,609,17976591,719844,395.0,51449.0,47.0,117.0,88.0,988.0
2020,ソフトウェア業,391,437,12330131,460076,278.0,41678.0,24.0,38.0,49.0,697.0
2020,情報処理・提供サービス業,392,98,3296714,25951,70.0,2779.0,8.0,14.0,14.0,92.0
2020,出版業,414,10,212493,630,6.0,27.0,9.0,54.0,6.0,56.0
2020,卸売業,I1,995,74233490,1396154,856.0,147411.0,341.0,2813.0,560.0,19771.0
2020,繊維品卸売業,511,19,656430,1954,10.0,197.0,7.0,19.0,11.0,341.0
2020,衣服・身の回り品卸売業,512,48,775408,3876,36.0,660.0,27.0,99.0,35.0,708.0
2020,農畜産物・水産物卸売業,521,35,2915723,3925,18.0,337.0,3.0,14.0,17.0,91.0
2020,食料・飲料卸売業,522,94,8620710,33696,37.0,2943.0,9.0,68.0,27.0,1459.0
2020,建築材料卸売業,531,63,1736639,28176,83.0,4229.0,35.0,508.0,54.0,2265.0
2020,化学製品卸売業,532,86,2903618,27207,86.0,4746.0,18.0,66.0,31.0,304.0
2020,石油・鉱物卸売業,533,18,14068718,13802,18.0,3230.0,7.0,17.0,6.0,175.0
2020,鉄鋼製品卸売業,534,28,4166897,653,36.0,336.0,13.0,29.0,14.0,180.0
2020,産業機械器具卸売業,541,95,3193957,189014,92.0,44811.0,33.0,372.0,51.0,2273.0
2020,自動車卸売業,542,25,1856103,73389,25.0,9125.0,8.0,15.0,15.0,844.0
2020,電気機械器具卸売業,543,133,7694667,353406,101.0,39496.0,28.0,568.0,62.0,3689.0
2020,その他の機械器具卸売業,549,71,1511314,46534,64.0,15629.0,22.0,105.0,34.0,1438.0
2020,家具・建具・じゅう器等卸売業,551,37,614511,1816,35.0,435.0,16.0,77.0,34.0,804.0
2020,医薬品・化粧品等卸売業,552,66,7107237,537445,38.0,10013.0,13.0,175.0,27.0,820.0
2020,紙、紙製品卸売業,553,8,408666,3198,19.0,334.0,10.0,33.0,13.0,57.0
2020,小売業,I2,144,3287923,21744,124.0,2583.0,39.0,187.0,110.0,2688.0
